"","90 (N=384)","91 (N=484)","92 (N=385)","93 (N=318)","94 (N=314)","95 (N=398)","96 (N=299)","97 (N=262)","98 (N=332)","99 (N=288)","100 (N=320)","101 (N=406)","102 (N=273)","103 (N=118)","Total (N=4581)","p value"
"&nbsp;&nbsp;&nbsp;35000-44999","38 (9.9%)","60 (12.4%)","32 (8.3%)","31 (9.7%)","40 (12.7%)","42 (10.6%)","39 (13.0%)","15 (5.7%)","30 (9.0%)","27 (9.4%)","24 (7.5%)","46 (11.3%)","38 (13.9%)","14 (11.9%)","476 (10.4%)",""
"&nbsp;&nbsp;&nbsp;45000-54999","28 (7.3%)","30 (6.2%)","30 (7.8%)","19 (6.0%)","29 (9.2%)","20 (5.0%)","22 (7.4%)","11 (4.2%)","22 (6.6%)","17 (5.9%)","33 (10.3%)","25 (6.2%)","26 (9.5%)","7 (5.9%)","319 (7.0%)",""
"&nbsp;&nbsp;&nbsp;5000-9999","31 (8.1%)","14 (2.9%)","16 (4.2%)","21 (6.6%)","17 (5.4%)","33 (8.3%)","8 (2.7%)","14 (5.3%)","19 (5.7%)","25 (8.7%)","9 (2.8%)","29 (7.1%)","3 (1.1%)","8 (6.8%)","247 (5.4%)",""
"&nbsp;&nbsp;&nbsp;55000-64999","19 (4.9%)","16 (3.3%)","17 (4.4%)","28 (8.8%)","21 (6.7%)","22 (5.5%)","20 (6.7%)","14 (5.3%)","13 (3.9%)","15 (5.2%)","17 (5.3%)","16 (3.9%)","14 (5.1%)","6 (5.1%)","238 (5.2%)",""
"&nbsp;&nbsp;&nbsp;65000-74999","16 (4.2%)","31 (6.4%)","31 (8.1%)","19 (6.0%)","14 (4.5%)","15 (3.8%)","15 (5.0%)","4 (1.5%)","19 (5.7%)","19 (6.6%)","18 (5.6%)","13 (3.2%)","19 (7.0%)","2 (1.7%)","235 (5.1%)",""
"&nbsp;&nbsp;&nbsp;75000-99999","29 (7.6%)","64 (13.2%)","47 (12.2%)","18 (5.7%)","26 (8.3%)","27 (6.8%)","34 (11.4%)","16 (6.1%)","22 (6.6%)","29 (10.1%)","35 (10.9%)","29 (7.1%)","39 (14.3%)","7 (5.9%)","422 (9.2%)",""
"&nbsp;&nbsp;&nbsp;more 99999","82 (21.4%)","138 (28.5%)","72 (18.7%)","64 (20.1%)","44 (14.0%)","38 (9.5%)","62 (20.7%)","79 (30.2%)","34 (10.2%)","65 (22.6%)","61 (19.1%)","15 (3.7%)","38 (13.9%)","32 (27.1%)","824 (18.0%)",""
"**HHIncomeMid**","","","","","","","","","","","","","","","","< 0.001"
"&nbsp;&nbsp;&nbsp;Mean (SD)","49798.177 (33918.506)","60387.397 (33737.849)","52792.208 (32937.199)","49449.686 (33128.356)","46218.153 (31190.582)","39082.915 (29611.369)","54456.522 (32179.261)","52242.366 (37330.145)","40406.627 (29846.415)","53506.944 (34080.530)","51789.062 (32926.465)","32894.089 (26424.803)","52353.480 (30311.292)","52097.458 (35231.181)","48816.852 (33027.132)",""
"&nbsp;&nbsp;&nbsp;Range","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000","2500.000 - 100000.000",""
"**HomeRooms**","","","","","","","","","","","","","","","","< 0.001"
"&nbsp;&nbsp;&nbsp;Mean (SD)","4.935 (2.022)","6.023 (2.393)","5.218 (1.701)","4.921 (2.098)","5.729 (2.127)","6.143 (2.300)","5.849 (2.485)","6.534 (2.198)","5.952 (1.972)","5.927 (2.587)","5.841 (2.005)","5.308 (2.022)","5.923 (1.996)","5.593 (2.243)","5.692 (2.203)",""
"&nbsp;&nbsp;&nbsp;Range","2.000 - 13.000","1.000 - 13.000","1.000 - 11.000","1.000 - 13.000","1.000 - 13.000","1.000 - 13.000","1.000 - 13.000","2.000 - 13.000","1.000 - 11.000","1.000 - 13.000","2.000 - 12.000","1.000 - 12.000","1.000 - 12.000","2.000 - 11.000","1.000 - 13.000",""
"**BPSysAve**","","","","","","","","","","","","","","","","< 0.001"
"&nbsp;&nbsp;&nbsp;Mean (SD)","122.557 (17.395)","121.438 (17.714)","122.465 (18.230)","122.802 (19.555)","123.080 (18.056)","128.621 (19.963)","122.552 (20.189)","119.916 (16.683)","123.361 (16.804)","124.354 (17.955)","124.800 (18.724)","125.631 (19.464)","119.615 (15.317)","119.466 (18.548)","123.205 (18.404)",""
"&nbsp;&nbsp;&nbsp;Range","83.000 - 191.000","74.000 - 207.000","84.000 - 233.000","83.000 - 220.000","85.000 - 200.000","82.000 - 221.000","86.000 - 209.000","86.000 - 186.000","82.000 - 199.000","84.000 - 184.000","84.000 - 194.000","81.000 - 214.000","85.000 - 170.000","84.000 - 196.000","74.000 - 233.000",""
"**BPDiaAve**","","","","","","","","","","","","","","","","< 0.001"
"&nbsp;&nbsp;&nbsp;Mean (SD)","69.620 (12.511)","70.841 (11.593)","71.545 (12.261)","70.635 (11.397)","69.070 (12.378)","70.173 (14.289)","69.070 (12.647)","73.431 (12.221)","74.148 (12.104)","73.455 (12.441)","67.606 (17.616)","70.318 (13.512)","68.267 (14.407)","71.746 (10.202)","70.638 (13.128)",""
"&nbsp;&nbsp;&nbsp;Range","0.000 - 101.000","0.000 - 110.000","0.000 - 130.000","31.000 - 103.000","19.000 - 104.000","0.000 - 105.000","23.000 - 124.000","0.000 - 108.000","14.000 - 114.000","0.000 - 110.000","0.000 - 115.000","0.000 - 116.000","0.000 - 108.000","51.000 - 105.000","0.000 - 130.000",""
"**Smoke100**","","","","","","","","","","","","","","","","< 0.001"
"&nbsp;&nbsp;&nbsp;No","234 (60.9%)","283 (58.5%)","232 (60.3%)","228 (71.7%)","149 (47.5%)","189 (47.5%)","185 (61.9%)","142 (54.2%)","172 (51.8%)","152 (52.8%)","198 (61.9%)","207 (51.0%)","169 (61.9%)","71 (60.2%)","2611 (57.0%)",""
"&nbsp;&nbsp;&nbsp;Yes","150 (39.1%)","201 (41.5%)","153 (39.7%)","90 (28.3%)","165 (52.5%)","209 (52.5%)","114 (38.1%)","120 (45.8%)","160 (48.2%)","136 (47.2%)","122 (38.1%)","199 (49.0%)","104 (38.1%)","47 (39.8%)","1970 (43.0%)",""
